,ACTIVITYESTIMATE,WEEK,POP,AREA,HealthCare_All,HealthCare_Over65,INCOME,TypeA_subH3,TypeA_subH1N1,TypeA,TypeA_subH3N2,TypeA_subU,TypeA_subH1,PrevWeek,NSporadic,NLocalAct,NNoAct,NRegional,NWidespread,Density
0,Widespread,41,4757938,135767,84.5999984741211,98.5,39980,5,1877,34,0,8,4,Widespread,0,2,0,8,3.7376696182833684,35.044878357774714
1,Widespread,42,4757938,135767,84.5999984741211,98.5,39980,1,2216,57,0,9,3,Widespread,0,2,0,3,3.8501476017100584,35.044878357774714
2,Widespread,43,4757938,135767,84.5999984741211,98.5,39980,6,2387,57,0,24,2,Widespread,0,1,0,2,3.8918202981106265,35.044878357774714
3,Widespread,44,4757938,135767,84.5999984741211,98.5,39980,4,3210,79,0,24,8,Widespread,0,1,0,2,3.8918202981106265,35.044878357774714
4,Widespread,45,4757938,135767,84.5999984741211,98.5,39980,2,5108,160,0,18,1,Widespread,0,1,0,4,3.8501476017100584,35.044878357774714
5,Widespread,46,4757938,135767,84.5999984741211,98.5,39980,0,6433,279,0,18,0,Widespread,0,1,0,7,3.784189633918261,35.044878357774714
6,Widespread,47,4757938,135767,84.5999984741211,98.5,39980,4,7284,327,0,27,3,Widespread,0,2,0,17,3.4965075614664802,35.044878357774714
7,Widespread,48,4757938,135767,84.5999984741211,98.5,39980,2,5770,293,0,37,1,Widespread,2,7,0,17,3.258096538021482,35.044878357774714
8,Widespread,49,4757938,135767,84.5999984741211,98.5,39980,2,4510,193,0,21,2,Widespread,4,8,0,25,2.70805020110221,35.044878357774714
9,Widespread,50,4757938,135767,84.5999984741211,98.5,39980,1,3593,111,0,21,2,Widespread,8,12,0,20,2.4849066497880004,35.044878357774714
10,Regional,51,4757938,135767,84.5999984741211,98.5,39980,0,2208,61,0,21,1,Widespread,11,14,1,18,2.0794415416798357,35.044878357774714
11,Widespread,52,4757938,135767,84.5999984741211,98.5,39980,2,1140,44,0,9,1,Regional,13,20,1,13,1.6094379124341003,35.044878357774714
12,Regional,1,4757938,135767,84.5999984741211,98.5,39980,1,225,9,0,3,0,Widespread,19,18,1,12,0.6931471805599453,35.044878357774714
13,Regional,2,4757938,135767,84.5999984741211,98.5,39980,3,208,5,0,2,1,Regional,24,16,2,9,0.0,35.044878357774714
14,Regional,3,4757938,135767,84.5999984741211,98.5,39980,0,251,2,0,2,0,Regional,33,10,1,7,0.0,35.044878357774714
15,Regional,4,4757938,135767,84.5999984741211,98.5,39980,3,219,5,0,0,0,Regional,34,9,3,5,0.0,35.044878357774714
16,Regional,5,4757938,135767,84.5999984741211,98.5,39980,0,259,5,0,0,0,Regional,32,10,3,6,0.0,35.044878357774714
17,Regional,6,4757938,135767,84.5999984741211,98.5,39980,0,210,5,0,0,1,Regional,30,11,4,6,0.0,35.044878357774714
18,Regional,7,4757938,135767,84.5999984741211,98.5,39980,0,220,5,0,0,0,Regional,36,9,3,3,0.0,35.044878357774714
19,Regional,8,4757938,135767,84.5999984741211,98.5,39980,1,293,4,0,0,0,Regional,36,8,4,3,0.0,35.044878357774714
20,Regional,9,4757938,135767,84.5999984741211,98.5,39980,0,274,5,0,0,0,Regional,35,8,4,4,0.0,35.044878357774714
21,Regional,10,4757938,135767,84.5999984741211,98.5,39980,0,314,6,0,0,0,Regional,34,6,6,5,0.0,35.044878357774714
22,Regional,11,4757938,135767,84.5999984741211,98.5,39980,0,234,8,0,0,0,Regional,32,8,8,3,0.0,35.044878357774714
23,Regional,12,4757938,135767,84.5999984741211,98.5,39980,1,155,2,0,0,0,Regional,32,8,8,3,0.0,35.044878357774714
24,Regional,13,4757938,135767,84.5999984741211,98.5,39980,1,145,1,0,0,0,Regional,31,7,10,3,0.0,35.044878357774714
25,Regional,14,4757938,135767,84.5999984741211,98.5,39980,1,90,5,0,0,0,Regional,34,3,11,3,0.0,35.044878357774714
26,Local Activity,15,4757938,135767,84.5999984741211,98.5,39980,2,42,1,0,0,0,Regional,39,1,9,2,0.0,35.044878357774714
27,Local Activity,16,4757938,135767,84.5999984741211,98.5,39980,2,16,0,0,0,0,Local Activity,32,4,15,0,0.0,35.044878357774714
28,Local Activity,17,4757938,135767,84.5999984741211,98.5,39980,0,13,0,0,0,0,Local Activity,32,2,17,0,0.0,35.044878357774714
29,No Activity,18,4757938,135767,84.5999984741211,98.5,39980,1,17,0,0,0,0,Local Activity,28,4,19,0,0.0,35.044878357774714
30,No Activity,19,4757938,135767,84.5999984741211,98.5,39980,2,5,0,0,0,0,No Activity,24,1,26,0,0.0,35.044878357774714
31,No Activity,20,4757938,135767,84.5999984741211,98.5,39980,1,4,0,0,1,0,No Activity,19,1,30,0,0.0,35.044878357774714
32,No Activity,41,4785448,135767,84.5999984741211,98.5,40933,33,12,1,0,0,0,No Activity,20,0,31,0,0.0,35.247504916511375
33,Sporadic,42,4785448,135767,84.5999984741211,98.5,40933,33,7,1,0,0,0,No Activity,25,0,26,0,0.0,35.247504916511375
34,Sporadic,43,4785448,135767,84.5999984741211,98.5,40933,48,10,3,0,0,0,Sporadic,23,2,26,0,0.0,35.247504916511375
35,Sporadic,44,4785448,135767,84.5999984741211,98.5,40933,47,10,0,0,0,0,Sporadic,29,1,21,0,0.0,35.247504916511375
36,Sporadic,45,4785448,135767,84.5999984741211,98.5,40933,64,11,0,0,0,0,Sporadic,36,3,12,0,0.0,35.247504916511375
37,Local Activity,46,4785448,135767,84.5999984741211,98.5,40933,94,16,4,0,0,0,Sporadic,35,4,12,0,0.0,35.247504916511375
38,Local Activity,47,4785448,135767,84.5999984741211,98.5,40933,114,10,3,0,0,0,Local Activity,32,7,11,1,0.0,35.247504916511375
39,Sporadic,48,4785448,135767,84.5999984741211,98.5,40933,130,31,3,0,0,0,Local Activity,32,11,7,1,0.0,35.247504916511375
40,Local Activity,49,4785448,135767,84.5999984741211,98.5,40933,282,36,3,0,0,0,Sporadic,30,12,6,3,0.0,35.247504916511375
41,Regional,50,4785448,135767,84.5999984741211,98.5,40933,404,74,18,0,0,0,Local Activity,22,20,5,4,0.0,35.247504916511375
42,Widespread,51,4785448,135767,84.5999984741211,98.5,40933,612,88,20,0,0,0,Regional,29,7,1,13,0.6931471805599453,35.247504916511375
43,Widespread,52,4785448,135767,84.5999984741211,98.5,40933,794,185,23,0,0,0,Widespread,24,9,0,13,1.791759469228055,35.247504916511375
44,Widespread,1,4785448,135767,84.5999984741211,98.5,40933,850,318,24,0,0,0,Widespread,15,12,0,16,2.1972245773362196,35.247504916511375
45,Widespread,2,4785448,135767,84.5999984741211,98.5,40933,926,500,20,0,0,0,Widespread,6,17,0,17,2.4849066497880004,35.247504916511375
46,Widespread,3,4785448,135767,84.5999984741211,98.5,40933,1112,742,16,0,0,0,Widespread,5,13,0,16,2.8903717578961645,35.247504916511375
47,Widespread,4,4785448,135767,84.5999984741211,98.5,40933,1156,964,27,0,0,0,Widespread,4,5,0,17,3.258096538021482,35.247504916511375
48,Widespread,5,4785448,135767,84.5999984741211,98.5,40933,1138,1073,41,0,0,0,Widespread,4,2,0,15,3.4339872044851463,35.247504916511375
49,Widespread,6,4785448,135767,84.5999984741211,98.5,40933,1167,1119,26,0,0,0,Widespread,4,1,0,9,3.6375861597263857,35.247504916511375
50,Widespread,7,4785448,135767,84.5999984741211,98.5,40933,1245,1248,39,0,0,0,Widespread,3,1,0,9,3.6635616461296463,35.247504916511375
51,Regional,8,4785448,135767,84.5999984741211,98.5,40933,1016,1017,34,0,0,0,Widespread,2,1,0,4,3.8066624897703196,35.247504916511375
52,Regional,9,4785448,135767,84.5999984741211,98.5,40933,852,818,17,0,0,0,Regional,0,2,0,5,3.8066624897703196,35.247504916511375
53,Regional,10,4785448,135767,84.5999984741211,98.5,40933,767,611,26,0,0,0,Regional,0,3,0,9,3.6888794541139363,35.247504916511375
54,Local Activity,11,4785448,135767,84.5999984741211,98.5,40933,541,377,16,0,0,0,Regional,1,4,0,15,3.4657359027997265,35.247504916511375
55,Local Activity,12,4785448,135767,84.5999984741211,98.5,40933,374,214,11,0,0,0,Local Activity,3,8,0,22,2.9444389791664403,35.247504916511375
56,Local Activity,13,4785448,135767,84.5999984741211,98.5,40933,248,147,11,0,0,0,Local Activity,6,13,0,22,2.3978952727983707,35.247504916511375
57,Local Activity,14,4785448,135767,84.5999984741211,98.5,40933,197,71,5,0,0,0,Local Activity,11,20,0,17,1.3862943611198906,35.247504916511375
58,Sporadic,15,4785448,135767,84.5999984741211,98.5,40933,127,32,1,0,0,0,Local Activity,16,24,0,9,1.0986122886681098,35.247504916511375
59,Local Activity,16,4785448,135767,84.5999984741211,98.5,40933,54,21,6,0,0,0,Sporadic,25,20,1,5,0.0,35.247504916511375
60,Sporadic,17,4785448,135767,84.5999984741211,98.5,40933,24,7,2,0,0,0,Local Activity,32,11,4,4,0.0,35.247504916511375
61,Sporadic,18,4785448,135767,84.5999984741211,98.5,40933,22,10,2,0,0,0,Sporadic,33,8,8,2,0.0,35.247504916511375
62,No Activity,19,4785448,135767,84.5999984741211,98.5,40933,8,2,0,0,0,0,Sporadic,34,2,14,1,0.0,35.247504916511375
63,No Activity,20,4785448,135767,84.5999984741211,98.5,40933,6,0,1,0,0,0,No Activity,27,0,24,0,0.0,35.247504916511375
64,No Activity,41,4798834,135767,84.5999984741211,98.5,42590,9,0,0,0,0,0,No Activity,21,0,30,0,0.0,35.346100304197634
65,No Activity,42,4798834,135767,84.5999984741211,98.5,42590,10,2,1,0,0,0,No Activity,19,0,32,0,0.0,35.346100304197634
66,No Activity,43,4798834,135767,84.5999984741211,98.5,42590,12,0,2,0,0,0,No Activity,19,0,32,0,0.0,35.346100304197634
67,No Activity,44,4798834,135767,84.5999984741211,98.5,42590,15,1,2,0,0,0,No Activity,21,0,30,0,0.0,35.346100304197634
68,No Activity,45,4798834,135767,84.5999984741211,98.5,42590,14,0,0,0,0,0,No Activity,26,1,24,0,0.0,35.346100304197634
69,No Activity,46,4798834,135767,84.5999984741211,98.5,42590,14,0,5,0,0,0,No Activity,24,0,27,0,0.0,35.346100304197634
70,No Activity,47,4798834,135767,84.5999984741211,98.5,42590,22,1,0,0,0,0,No Activity,27,0,24,0,0.0,35.346100304197634
71,No Activity,48,4798834,135767,84.5999984741211,98.5,42590,26,2,1,0,0,0,No Activity,29,1,21,0,0.0,35.346100304197634
72,Local Activity,49,4798834,135767,84.5999984741211,98.5,42590,37,2,0,0,0,0,No Activity,31,1,19,0,0.0,35.346100304197634
73,Local Activity,50,4798834,135767,84.5999984741211,98.5,42590,71,4,0,0,0,0,Local Activity,32,3,16,0,0.0,35.346100304197634
74,Local Activity,51,4798834,135767,84.5999984741211,98.5,42590,96,5,0,0,0,0,Local Activity,37,2,12,0,0.0,35.346100304197634
75,Sporadic,52,4798834,135767,84.5999984741211,98.5,42590,93,4,0,0,0,0,Local Activity,37,2,11,1,0.0,35.346100304197634
76,Sporadic,1,4798834,135767,84.5999984741211,98.5,42590,98,13,1,0,0,0,Sporadic,40,4,6,1,0.0,35.346100304197634
77,Sporadic,2,4798834,135767,84.5999984741211,98.5,42590,135,21,4,0,0,0,Sporadic,37,7,5,2,0.0,35.346100304197634
78,Sporadic,3,4798834,135767,84.5999984741211,98.5,42590,181,42,7,0,0,0,Sporadic,38,8,3,1,0.0,35.346100304197634
79,Local Activity,4,4798834,135767,84.5999984741211,98.5,42590,245,67,5,0,0,0,Sporadic,35,8,3,4,0.0,35.346100304197634
80,Regional,5,4798834,135767,84.5999984741211,98.5,42590,335,97,4,0,0,0,Local Activity,31,13,1,6,0.0,35.346100304197634
81,Regional,6,4798834,135767,84.5999984741211,98.5,42590,385,141,0,0,0,0,Regional,28,12,1,9,0.6931471805599453,35.346100304197634
82,Local Activity,7,4798834,135767,84.5999984741211,98.5,42590,459,172,26,0,0,0,Regional,21,17,0,12,0.6931471805599453,35.346100304197634
83,Regional,8,4798834,135767,84.5999984741211,98.5,42590,629,220,22,0,0,0,Local Activity,16,20,0,13,1.0986122886681098,35.346100304197634
84,Regional,9,4798834,135767,84.5999984741211,98.5,42590,908,337,18,0,0,0,Regional,13,13,0,18,2.0794415416798357,35.346100304197634
85,Regional,10,4798834,135767,84.5999984741211,98.5,42590,1134,376,39,0,0,0,Regional,9,11,0,22,2.302585092994046,35.346100304197634
86,Regional,11,4798834,135767,84.5999984741211,98.5,42590,1261,467,38,0,0,0,Regional,11,3,0,22,2.772588722239781,35.346100304197634
87,Local Activity,12,4798834,135767,84.5999984741211,98.5,42590,960,357,29,0,0,0,Regional,9,2,0,20,3.044522437723423,35.346100304197634
88,Local Activity,13,4798834,135767,84.5999984741211,98.5,42590,609,213,12,0,0,0,Local Activity,5,9,0,21,2.833213344056216,35.346100304197634
89,Sporadic,14,4798834,135767,84.5999984741211,98.5,42590,539,199,19,0,0,0,Local Activity,9,13,0,19,2.3978952727983707,35.346100304197634
90,Local Activity,15,4798834,135767,84.5999984741211,98.5,42590,510,139,17,0,0,0,Sporadic,12,20,0,9,2.3978952727983707,35.346100304197634
91,Local Activity,16,4798834,135767,84.5999984741211,98.5,42590,482,85,13,0,0,0,Local Activity,19,17,0,9,1.9459101490553132,35.346100304197634
92,Local Activity,17,4798834,135767,84.5999984741211,98.5,42590,316,52,8,0,0,0,Local Activity,22,14,1,10,1.6094379124341003,35.346100304197634
93,Local Activity,18,4798834,135767,84.5999984741211,98.5,42590,279,43,4,0,0,0,Local Activity,28,12,0,9,1.0986122886681098,35.346100304197634
94,Local Activity,19,4798834,135767,84.5999984741211,98.5,42590,211,21,3,0,0,0,Local Activity,29,12,0,8,1.0986122886681098,35.346100304197634
95,Local Activity,20,4798834,135767,84.5999984741211,98.5,42590,144,19,4,0,0,0,Local Activity,31,11,3,4,0.6931471805599453,35.346100304197634
96,Sporadic,41,4815564,135767,84.5999984741211,98.5,43464,62,6,0,0,0,0,Sporadic,31,1,18,0,0.0,35.469326124905166
97,Sporadic,42,4815564,135767,84.5999984741211,98.5,43464,121,3,3,0,0,0,Sporadic,34,1,16,0,0.0,35.469326124905166
98,Sporadic,43,4815564,135767,84.5999984741211,98.5,43464,146,2,0,0,0,0,Sporadic,35,3,13,0,0.0,35.469326124905166
99,Local Activity,44,4815564,135767,84.5999984741211,98.5,43464,172,3,2,0,0,0,Sporadic,34,5,12,0,0.0,35.469326124905166
100,Regional,45,4815564,135767,84.5999984741211,98.5,43464,259,4,4,0,0,0,Local Activity,33,8,8,1,0.0,35.469326124905166
101,Regional,46,4815564,135767,84.5999984741211,98.5,43464,368,8,2,2,0,0,Regional,33,8,5,4,0.0,35.469326124905166
102,Regional,47,4815564,135767,84.5999984741211,98.5,43464,530,4,6,0,0,0,Regional,32,8,3,6,0.6931471805599453,35.469326124905166
103,Widespread,48,4815564,135767,84.5999984741211,98.5,43464,910,17,12,0,0,0,Regional,20,19,1,7,1.6094379124341003,35.469326124905166
104,Widespread,49,4815564,135767,84.5999984741211,98.5,43464,1596,34,16,0,0,0,Widespread,13,15,0,15,2.1972245773362196,35.469326124905166
105,Widespread,50,4815564,135767,84.5999984741211,98.5,43464,2366,34,16,0,0,0,Widespread,3,12,0,17,2.9444389791664403,35.469326124905166
106,Regional,51,4815564,135767,84.5999984741211,98.5,43464,3110,49,18,0,0,0,Widespread,4,6,0,12,3.4011973816621555,35.469326124905166
107,Widespread,52,4815564,135767,84.5999984741211,98.5,43464,3148,72,42,0,0,0,Regional,2,3,0,14,3.4657359027997265,35.469326124905166
108,Widespread,1,4815564,135767,84.5999984741211,98.5,43464,2911,72,43,0,0,0,Widespread,1,2,0,7,3.7376696182833684,35.469326124905166
109,Widespread,2,4815564,135767,84.5999984741211,98.5,43464,3126,100,56,0,0,0,Widespread,1,1,0,2,3.871201010907891,35.469326124905166
110,Widespread,3,4815564,135767,84.5999984741211,98.5,43464,2374,86,54,0,0,0,Widespread,0,1,0,2,3.8918202981106265,35.469326124905166
111,Regional,4,4815564,135767,84.5999984741211,98.5,43464,1864,102,35,0,0,0,Widespread,0,2,0,2,3.871201010907891,35.469326124905166
112,Regional,5,4815564,135767,84.5999984741211,98.5,43464,1443,108,30,0,0,0,Regional,0,2,0,7,3.7612001156935624,35.469326124905166
113,Regional,6,4815564,135767,84.5999984741211,98.5,43464,897,86,17,0,0,0,Regional,1,3,0,9,3.6635616461296463,35.469326124905166
114,Local Activity,7,4815564,135767,84.5999984741211,98.5,43464,655,60,11,0,0,0,Regional,1,5,0,14,3.4657359027997265,35.469326124905166
115,Sporadic,8,4815564,135767,84.5999984741211,98.5,43464,431,58,6,0,0,0,Local Activity,1,7,0,21,3.1354942159291497,35.469326124905166
116,Local Activity,9,4815564,135767,84.5999984741211,98.5,43464,344,45,4,0,0,0,Sporadic,3,8,0,28,2.5649493574615367,35.469326124905166
117,Regional,10,4815564,135767,84.5999984741211,98.5,43464,259,43,5,0,0,0,Local Activity,4,14,0,24,2.302585092994046,35.469326124905166
118,Local Activity,11,4815564,135767,84.5999984741211,98.5,43464,167,37,1,0,0,0,Regional,6,17,0,19,2.1972245773362196,35.469326124905166
119,Local Activity,12,4815564,135767,84.5999984741211,98.5,43464,137,29,2,0,0,0,Local Activity,8,27,0,8,2.0794415416798357,35.469326124905166
120,Local Activity,13,4815564,135767,84.5999984741211,98.5,43464,94,33,1,0,0,0,Local Activity,12,24,1,8,1.9459101490553132,35.469326124905166
121,Sporadic,14,4815564,135767,84.5999984741211,98.5,43464,104,26,0,0,0,0,Local Activity,12,27,1,7,1.6094379124341003,35.469326124905166
122,Sporadic,15,4815564,135767,84.5999984741211,98.5,43464,55,40,1,0,0,0,Sporadic,24,15,1,7,1.6094379124341003,35.469326124905166
123,Sporadic,16,4815564,135767,84.5999984741211,98.5,43464,62,28,0,0,0,0,Sporadic,34,8,0,6,1.3862943611198906,35.469326124905166
124,Sporadic,17,4815564,135767,84.5999984741211,98.5,43464,51,31,2,0,0,0,Sporadic,36,8,1,3,1.3862943611198906,35.469326124905166
125,Sporadic,18,4815564,135767,84.5999984741211,98.5,43464,51,17,3,0,0,0,Sporadic,36,6,5,3,0.0,35.469326124905166
126,No Activity,19,4815564,135767,84.5999984741211,98.5,43464,33,12,1,0,0,0,Sporadic,38,3,5,5,0.0,35.469326124905166
127,Sporadic,20,4815564,135767,84.5999984741211,98.5,43464,22,11,0,0,0,0,No Activity,35,2,12,1,0.0,35.469326124905166
128,Local Activity,41,4830460,135767,84.5999984741211,98.5,41381,20,53,1,0,0,0,Local Activity,50,6,44,0,0.0,35.5790435083636
129,Local Activity,41,4830460,135767,84.5999984741211,98.5,47320,20,53,1,0,0,0,Local Activity,50,6,44,0,0.0,35.5790435083636
130,Local Activity,42,4830460,135767,84.5999984741211,98.5,41381,15,48,1,0,0,0,Local Activity,55,6,41,0,0.0,35.5790435083636
131,Local Activity,42,4830460,135767,84.5999984741211,98.5,47320,15,48,1,0,0,0,Local Activity,55,6,41,0,0.0,35.5790435083636
132,Regional,43,4830460,135767,84.5999984741211,98.5,41381,16,69,0,0,0,0,Local Activity,58,7,34,1,0.0,35.5790435083636
133,Regional,43,4830460,135767,84.5999984741211,98.5,47320,16,69,0,0,0,0,Regional,58,7,34,1,0.0,35.5790435083636
134,Regional,44,4830460,135767,84.5999984741211,98.5,41381,22,79,4,0,0,0,Regional,68,10,25,3,0.0,35.5790435083636
135,Regional,44,4830460,135767,84.5999984741211,98.5,47320,22,79,4,0,0,0,Regional,68,10,25,3,0.0,35.5790435083636
136,Regional,45,4830460,135767,84.5999984741211,98.5,41381,23,135,0,0,0,0,Regional,71,12,16,3,0.0,35.5790435083636
137,Regional,45,4830460,135767,84.5999984741211,98.5,47320,23,135,0,0,0,0,Regional,71,12,16,3,0.0,35.5790435083636
138,Regional,46,4830460,135767,84.5999984741211,98.5,41381,17,230,5,0,0,0,Regional,71,17,9,5,0.0,35.5790435083636
139,Regional,46,4830460,135767,84.5999984741211,98.5,47320,17,230,5,0,0,0,Regional,71,17,9,5,0.0,35.5790435083636
140,Regional,47,4830460,135767,84.5999984741211,98.5,41381,14,357,1,0,0,0,Regional,68,19,5,10,0.0,35.5790435083636
141,Regional,47,4830460,135767,84.5999984741211,98.5,47320,14,357,1,0,0,0,Regional,68,19,5,10,0.0,35.5790435083636
142,Regional,48,4830460,135767,84.5999984741211,98.5,41381,24,378,1,0,0,0,Regional,61,23,3,15,0.0,35.5790435083636
143,Regional,48,4830460,135767,84.5999984741211,98.5,47320,24,378,1,0,0,0,Regional,61,23,3,15,0.0,35.5790435083636
144,Regional,49,4830460,135767,84.5999984741211,98.5,41381,26,791,4,0,0,0,Regional,45,31,3,23,0.0,35.5790435083636
145,Regional,49,4830460,135767,84.5999984741211,98.5,47320,26,791,4,0,0,0,Regional,45,31,3,23,0.0,35.5790435083636
146,Widespread,50,4830460,135767,84.5999984741211,98.5,41381,48,1025,5,0,0,0,Regional,26,35,3,34,1.6094379124341003,35.5790435083636
147,Widespread,50,4830460,135767,84.5999984741211,98.5,47320,48,1025,5,0,0,0,Widespread,26,35,3,34,1.6094379124341003,35.5790435083636
148,Widespread,51,4830460,135767,84.5999984741211,98.5,41381,38,1543,16,0,0,0,Widespread,14,29,1,43,2.772588722239781,35.5790435083636
149,Widespread,51,4830460,135767,84.5999984741211,98.5,47320,38,1543,16,0,0,0,Widespread,14,29,1,43,2.772588722239781,35.5790435083636
150,Widespread,52,4830460,135767,84.5999984741211,98.5,41381,38,2082,16,0,0,0,Widespread,8,15,0,43,3.6109179126442243,35.5790435083636
151,Widespread,52,4830460,135767,84.5999984741211,98.5,47320,38,2082,16,0,0,0,Widespread,8,15,0,43,3.6109179126442243,35.5790435083636
152,Widespread,1,4830460,135767,84.5999984741211,98.5,41381,75,2397,19,0,0,0,Widespread,4,6,0,31,4.127134385045092,35.5790435083636
153,Widespread,1,4830460,135767,84.5999984741211,98.5,47320,75,2397,19,0,0,0,Widespread,4,6,0,31,4.127134385045092,35.5790435083636
154,Regional,2,4830460,135767,84.5999984741211,98.5,41381,84,2624,26,0,0,0,Widespread,2,4,0,20,4.343805421853684,35.5790435083636
155,Regional,2,4830460,135767,84.5999984741211,98.5,47320,84,2624,26,0,0,0,Regional,2,4,0,20,4.343805421853684,35.5790435083636
156,Regional,3,4830460,135767,84.5999984741211,98.5,41381,98,2476,24,0,0,0,Regional,2,2,0,17,4.406719247264253,35.5790435083636
157,Regional,3,4830460,135767,84.5999984741211,98.5,47320,98,2476,24,0,0,0,Regional,2,2,0,17,4.406719247264253,35.5790435083636
158,Regional,4,4830460,135767,84.5999984741211,98.5,41381,114,2048,41,0,0,0,Regional,2,3,0,18,4.382026634673881,35.5790435083636
159,Regional,4,4830460,135767,84.5999984741211,98.5,47320,114,2048,41,0,0,0,Regional,2,3,0,18,4.382026634673881,35.5790435083636
160,Regional,5,4830460,135767,84.5999984741211,98.5,41381,79,1466,31,0,0,0,Regional,2,5,0,29,4.204692619390966,35.5790435083636
161,Regional,5,4830460,135767,84.5999984741211,98.5,47320,79,1466,31,0,0,0,Regional,2,5,0,29,4.204692619390966,35.5790435083636
162,Regional,6,4830460,135767,84.5999984741211,98.5,41381,109,1244,10,0,0,0,Regional,2,9,0,39,3.970291913552122,35.5790435083636
163,Regional,6,4830460,135767,84.5999984741211,98.5,47320,109,1244,10,0,0,0,Regional,2,9,0,39,3.970291913552122,35.5790435083636
164,Regional,7,4830460,135767,84.5999984741211,98.5,41381,76,852,14,0,0,0,Regional,3,16,0,42,3.7376696182833684,35.5790435083636
165,Regional,7,4830460,135767,84.5999984741211,98.5,47320,76,852,14,0,0,0,Regional,3,16,0,42,3.7376696182833684,35.5790435083636
166,Sporadic,8,4830460,135767,84.5999984741211,98.5,41381,68,655,13,0,0,0,Regional,6,26,0,43,3.332204510175204,35.5790435083636
167,Sporadic,8,4830460,135767,84.5999984741211,98.5,47320,68,655,13,0,0,0,Sporadic,6,26,0,43,3.332204510175204,35.5790435083636
168,Local Activity,9,4830460,135767,84.5999984741211,98.5,41381,75,465,15,0,0,0,Sporadic,8,43,0,33,2.9444389791664403,35.5790435083636
169,Local Activity,9,4830460,135767,84.5999984741211,98.5,47320,75,465,15,0,0,0,Local Activity,8,43,0,33,2.9444389791664403,35.5790435083636
170,Sporadic,10,4830460,135767,84.5999984741211,98.5,41381,85,318,7,0,0,0,Local Activity,17,47,0,24,2.5649493574615367,35.5790435083636
171,Sporadic,10,4830460,135767,84.5999984741211,98.5,47320,85,318,7,0,0,0,Sporadic,17,47,0,24,2.5649493574615367,35.5790435083636
172,Sporadic,11,4830460,135767,84.5999984741211,98.5,41381,111,277,4,0,0,0,Sporadic,31,42,0,21,2.1972245773362196,35.5790435083636
173,Sporadic,11,4830460,135767,84.5999984741211,98.5,47320,111,277,4,0,0,0,Sporadic,31,42,0,21,2.1972245773362196,35.5790435083636
174,Sporadic,12,4830460,135767,84.5999984741211,98.5,41381,131,158,10,0,0,0,Sporadic,40,38,0,16,2.1972245773362196,35.5790435083636
175,Sporadic,12,4830460,135767,84.5999984741211,98.5,47320,131,158,10,0,0,0,Sporadic,40,38,0,16,2.1972245773362196,35.5790435083636
176,Sporadic,13,4830460,135767,84.5999984741211,98.5,41381,146,112,6,0,0,0,Sporadic,45,36,1,11,2.302585092994046,35.5790435083636
177,Sporadic,13,4830460,135767,84.5999984741211,98.5,47320,146,112,6,0,0,0,Sporadic,45,36,1,11,2.302585092994046,35.5790435083636
178,Sporadic,14,4830460,135767,84.5999984741211,98.5,41381,170,90,4,0,0,0,Sporadic,48,34,2,8,2.3978952727983707,35.5790435083636
179,Sporadic,14,4830460,135767,84.5999984741211,98.5,47320,170,90,4,0,0,0,Sporadic,48,34,2,8,2.3978952727983707,35.5790435083636
180,Sporadic,15,4830460,135767,84.5999984741211,98.5,41381,140,40,3,0,0,0,Sporadic,49,31,3,7,2.5649493574615367,35.5790435083636
181,Sporadic,15,4830460,135767,84.5999984741211,98.5,47320,140,40,3,0,0,0,Sporadic,49,31,3,7,2.5649493574615367,35.5790435083636
182,Sporadic,16,4830460,135767,84.5999984741211,98.5,41381,150,18,4,0,0,0,Sporadic,50,28,6,6,2.5649493574615367,35.5790435083636
183,Sporadic,16,4830460,135767,84.5999984741211,98.5,47320,150,18,4,0,0,0,Sporadic,50,28,6,6,2.5649493574615367,35.5790435083636
184,Sporadic,17,4830460,135767,84.5999984741211,98.5,41381,137,24,5,0,0,0,Sporadic,54,26,8,5,2.302585092994046,35.5790435083636
185,Sporadic,17,4830460,135767,84.5999984741211,98.5,47320,137,24,5,0,0,0,Sporadic,54,26,8,5,2.302585092994046,35.5790435083636
186,Sporadic,18,4830460,135767,84.5999984741211,98.5,41381,111,9,5,0,0,0,Sporadic,61,21,8,4,2.1972245773362196,35.5790435083636
187,Sporadic,18,4830460,135767,84.5999984741211,98.5,47320,111,9,5,0,0,0,Sporadic,61,21,8,4,2.1972245773362196,35.5790435083636
188,Sporadic,19,4830460,135767,84.5999984741211,98.5,41381,84,7,4,0,0,0,Sporadic,73,10,8,4,2.0794415416798357,35.5790435083636
189,Sporadic,19,4830460,135767,84.5999984741211,98.5,47320,84,7,4,0,0,0,Sporadic,73,10,8,4,2.0794415416798357,35.5790435083636
190,Sporadic,20,4830460,135767,84.5999984741211,98.5,41381,92,6,7,0,0,0,Sporadic,77,10,9,7,1.791759469228055,35.5790435083636
191,Sporadic,20,4830460,135767,84.5999984741211,98.5,47320,92,6,7,0,0,0,Sporadic,77,10,9,7,1.791759469228055,35.5790435083636
192,Sporadic,20,4830460,135767,84.5999984741211,98.5,41381,92,6,7,0,0,0,Sporadic,77,10,9,7,1.791759469228055,35.5790435083636
193,Sporadic,20,4830460,135767,84.5999984741211,98.5,47320,92,6,7,0,0,0,Sporadic,77,10,9,7,1.791759469228055,35.5790435083636
